,latitud,longitud,barrio,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price
167222,-34.5833495,-58.4130026,Palermo,departamento,4,3,115,106,275000
329901,-34.6077835599,-58.4745463164,Paternal,departamento,2,1,30,30,80000
15586,-34.5861088,-58.4037974,Barrio Norte,departamento,3,2,100,90,380000
14853,-34.5504428,-58.4678886,Nuñez,departamento,3,1,75,55,164000
270578,-34.589784,-58.509823,Villa Devoto,departamento,3,2,103,86,220000
299104,-34.5703070378,-58.4872741423,Villa Urquiza,departamento,3,2,76,65,290000
41970,-34.5775948,-58.495185,Villa Urquiza,departamento,2,1,65,48,130000
346090,-34.5629292,-58.4436931,Belgrano,departamento,2,1,58,46,149000
102730,-34.6022715807,-58.4134692175,Almagro,departamento,3,2,83,73,220000
147413,-34.5748679,-58.4377208,Palermo,departamento,4,3,90,81,240000
65403,-34.573453,-58.441928,Palermo,departamento,4,2,177,125,385000
260591,-34.5605912,-58.4635989,Belgrano,departamento,2,1,45,42,139000
182485,-34.589104,-58.504555,Villa Pueyrredón,departamento,3,2,82,73,190000
51966,-34.5415229,-58.4785358,Saavedra,ph,4,3,175,94,265000
157976,-34.6184491,-58.4286787,Caballito,departamento,2,1,34,34,69900
275075,-34.6009485,-58.4027858,Balvanera,departamento,3,2,60,60,130000
303066,-34.6136325,-58.4308788,Caballito,departamento,4,3,154,80,220000
358829,-34.5817571,-58.4703377,Colegiales,departamento,4,3,113,97,298000
284684,-34.6234656,-58.5015512,Monte Castro,ph,3,2,100,70,150000
178388,-34.5962497,-58.4401805,Villa Crespo,departamento,2,1,51,49,160000
79159,-34.5571603,-58.4506988,Belgrano,departamento,1,1,30,30,90000
125179,-34.615567,-58.367545,Puerto Madero,departamento,2,1,60,55,195000
236998,-34.5700355,-58.5040341,Villa Urquiza,departamento,3,2,80,56,160000
20619,-34.5836047,-58.4157413,Palermo,departamento,4,3,116,105,345000
280104,-34.5941263428,-58.3908437646,Recoleta,departamento,2,1,59,59,120000
256686,-34.5682788,-58.4348366,Belgrano,departamento,2,1,43,43,165000
291625,-34.5613612,-58.4637579,Belgrano,departamento,2,1,56,47,167145
154483,-34.5824025,-58.4273048,Palermo,departamento,4,3,74,72,210000
380337,-34.5867289414,-58.4049832821,Recoleta,ph,2,1,37,31,128000
418554,-34.569055,-58.4453395,Palermo,departamento,2,1,46,44,99500
121654,-34.5906204708,-58.448666927,Chacarita,departamento,1,1,33,30,83000
395309,-34.631586,-58.439369,Parque Chacabuco,casa,4,3,185,160,208000
